Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;7500;20;1;750;0;35.57
0;7500;20;1;1500;0;31.42
0;7500;20;1;2500;0;28.85
0;7500;20;1;3500;0;26.46
0;17500;3;0;50;0;10.45
0;17500;3;0;250;0;20.93
0;17500;3;0;750;0;19.95
0;17500;3;0;1500;0;18.5
0;17500;3;0;2500;0;17.84
0;17500;3;0;3500;0;16.28
0;17500;3;1;50;0;19.95
0;17500;3;1;250;0;21.02
0;17500;3;1;750;0;19.4
0;17500;3;1;1500;0;18.33
0;17500;3;1;2500;0;16.78
0;17500;3;1;3500;0;16.29
0;17500;6;0;50;0;19.98
0;17500;6;0;250;0;20.57
0;17500;6;0;750;0;19.8
0;17500;6;0;1500;0;19.27
0;17500;6;0;2500;0;17.21
0;17500;6;0;3500;0;17.01
0;17500;6;1;50;0;19.03
0;17500;6;1;250;0;21.43
0;17500;6;1;750;0;18.91
0;17500;6;1;1500;0;17.48
0;17500;6;1;2500;0;16.73
0;17500;6;1;3500;0;16.42
0;17500;10;0;50;0;21.47
0;17500;10;0;250;0;19.59
0;17500;10;0;750;0;19.09
0;17500;10;0;1500;0;18.79
0;17500;10;0;2500;0;17.67
0;17500;10;0;3500;0;16.55
0;17500;10;1;50;0;19.82
0;17500;10;1;250;0;20.48
0;17500;10;1;750;0;19.06
0;17500;10;1;1500;0;17.3
0;17500;10;1;2500;0;17.22
0;17500;10;1;3500;0;16.79
0;17500;14;0;50;0;21.02
0;17500;14;0;250;0;19.61
0;17500;14;0;750;0;19.42
0;17500;14;0;1500;0;18.19
0;17500;14;0;2500;0;17.4
0;17500;14;0;3500;0;16.39
0;17500;14;1;50;0;19.64
0;17500;14;1;250;0;19.39
0;17500;14;1;750;0;18.88
0;17500;14;1;1500;0;17.93
0;17500;14;1;2500;0;17.11
0;17500;14;1;3500;0;16.37
0;17500;20;0;50;0;19.23
0;17500;20;0;250;0;19.97
0;17500;20;0;750;0;19.36
0;17500;20;0;1500;0;18.63
0;17500;20;0;2500;0;17.19
0;17500;20;0;3500;0;16.95
0;17500;20;1;50;0;19.27
0;17500;20;1;250;0;19.23
0;17500;20;1;750;0;19.45
0;17500;20;1;1500;0;19.41
0;17500;20;1;2500;0;18.29
0;17500;20;1;3500;0;17.49
0;37500;3;0;50;0;4.38
0;37500;3;0;250;0;11.4
0;37500;3;0;750;0;10.69
0;37500;3;0;1500;0;11.02
0;37500;3;0;2500;0;10.58
0;37500;3;0;3500;0;10.31
0;37500;3;1;50;0;11.14
0;37500;3;1;250;0;11.11
0;37500;3;1;750;0;10.86
0;37500;3;1;1500;0;10.35
0;37500;3;1;2500;0;9.59
0;37500;3;1;3500;0;8.87
0;37500;6;0;50;0;10.84
0;37500;6;0;250;0;11.6
0;37500;6;0;750;0;10.89
0;37500;6;0;1500;0;10.66
0;37500;6;0;2500;0;10.33
0;37500;6;0;3500;0;9.84
0;37500;6;1;50;0;11.03
0;37500;6;1;250;0;10.81
0;37500;6;1;750;0;10.66
0;37500;6;1;1500;0;10.36
0;37500;6;1;2500;0;9.72
0;37500;6;1;3500;0;9.59
0;37500;10;0;50;0;10.99
0;37500;10;0;250;0;10.47
0;37500;10;0;750;0;10.94
0;37500;10;0;1500;0;10.43
0;37500;10;0;2500;0;9.55
0;37500;10;0;3500;0;9.86
0;37500;10;1;50;0;9.94
0;37500;10;1;250;0;10.85
0;37500;10;1;750;0;10.14
0;37500;10;1;1500;0;10.27
0;37500;10;1;2500;0;9.79
0;37500;10;1;3500;0;9.44
0;37500;14;0;50;0;10.96
0;37500;14;0;250;0;10.55
0;37500;14;0;750;0;10.93
0;37500;14;0;1500;0;10.29
0;37500;14;0;2500;0;10.35
0;37500;14;0;3500;0;10.06
0;37500;14;1;50;0;10.44
0;37500;14;1;250;0;10.54
0;37500;14;1;750;0;10.23
0;37500;14;1;1500;0;10.22
0;37500;14;1;2500;0;9.33
0;37500;14;1;3500;0;9.36
0;37500;20;0;50;0;10.83
0;37500;20;0;250;0;10.75
0;37500;20;0;750;0;10.9
0;37500;20;0;1500;0;10.07
0;37500;20;0;2500;0;9.58
0;37500;20;0;3500;0;9.94
0;37500;20;1;50;0;10.62
0;37500;20;1;250;0;10.87
0;37500;20;1;750;0;10.68
0;37500;20;1;1500;0;10.29
0;37500;20;1;2500;0;10.05
0;37500;20;1;3500;0;9.53
0;62500;3;0;50;0;2.88
0;62500;3;0;250;0;7.3
0;62500;3;0;750;0;6.12
0;62500;3;0;1500;0;6.51
0;62500;3;0;2500;0;6.46
0;62500;3;0;3500;0;6.41
0;62500;3;1;50;0;6.51
0;62500;3;1;250;0;6.61
0;62500;3;1;750;0;5.99
0;62500;3;1;1500;0;6.2
0;62500;3;1;2500;0;5.96
0;62500;3;1;3500;0;5.77
0;62500;6;0;50;0;6.17
0;62500;6;0;250;0;6.02
0;62500;6;0;750;0;6.0
0;62500;6;0;1500;0;6.17
0;62500;6;0;2500;0;6.29
0;62500;6;0;3500;0;6.09
0;62500;6;1;50;0;6.38
0;62500;6;1;250;0;5.91
0;62500;6;1;750;0;6.08
0;62500;6;1;1500;0;5.81
0;62500;6;1;2500;0;6.17
0;62500;6;1;3500;0;5.72
0;62500;10;0;50;0;5.94
0;62500;10;0;250;0;6.45
0;62500;10;0;750;0;6.12
0;62500;10;0;1500;0;6.17
0;62500;10;0;2500;0;5.55
0;62500;10;0;3500;0;6.2
0;62500;10;1;50;0;6.23
0;62500;10;1;250;0;6.25
0;62500;10;1;750;0;5.98
0;62500;10;1;1500;0;6.37
0;62500;10;1;2500;0;5.79
0;62500;10;1;3500;0;5.92
0;62500;14;0;50;0;6.29
0;62500;14;0;250;0;6.41
0;62500;14;0;750;0;6.44
0;62500;14;0;1500;0;5.66
0;62500;14;0;2500;0;6.13
0;62500;14;0;3500;0;6.08
0;62500;14;1;50;0;6.45
0;62500;14;1;250;0;5.7
0;62500;14;1;750;0;6.18
0;62500;14;1;1500;0;6.19
0;62500;14;1;2500;0;5.95
0;62500;14;1;3500;0;5.88
0;62500;20;0;50;0;6.09
0;62500;20;0;250;0;6.4
0;62500;20;0;750;0;6.0
0;62500;20;0;1500;0;6.13
0;62500;20;0;2500;0;6.0
0;62500;20;0;3500;0;5.81
0;62500;20;1;50;0;6.05
0;62500;20;1;250;0;6.66
0;62500;20;1;750;0;5.84
0;62500;20;1;1500;0;6.21
0;62500;20;1;2500;0;5.88
0;62500;20;1;3500;0;5.48
0;87500;3;0;50;0;2.7
0;87500;3;0;250;0;5.24
0;87500;3;0;750;0;4.22
0;87500;3;0;1500;0;4.5
0;87500;3;0;2500;0;4.64
0;87500;3;0;3500;0;4.49
0;87500;3;1;50;0;4.89
0;87500;3;1;250;0;4.39
0;87500;3;1;750;0;4.01
0;87500;3;1;1500;0;4.57
0;87500;3;1;2500;0;4.56
0;87500;3;1;3500;0;4.43
0;87500;6;0;50;0;4.74
0;87500;6;0;250;0;4.98
0;87500;6;0;750;0;4.69
0;87500;6;0;1500;0;4.59
0;87500;6;0;2500;0;4.53
0;87500;6;0;3500;0;4.41
0;87500;6;1;50;0;4.75
0;87500;6;1;250;0;4.64
0;87500;6;1;750;0;4.55
0;87500;6;1;1500;0;2.99
0;87500;6;1;2500;0;4.58
0;87500;6;1;3500;0;4.63
0;87500;10;0;50;0;4.71
0;87500;10;0;250;0;4.91
0;87500;10;0;750;0;4.72
0;87500;10;0;1500;0;4.52
0;87500;10;0;2500;0;4.46
0;87500;10;0;3500;0;4.53
0;87500;10;1;50;0;4.77
0;87500;10;1;250;0;4.46
0;87500;10;1;750;0;4.4
0;87500;10;1;1500;0;4.58
0;87500;10;1;2500;0;4.39
0;87500;10;1;3500;0;4.27
0;87500;14;0;50;0;4.59
0;87500;14;0;250;0;4.46
0;87500;14;0;750;0;4.65
0;87500;14;0;1500;0;4.52
0;87500;14;0;2500;0;4.22
0;87500;14;0;3500;0;4.49
0;87500;14;1;50;0;4.68
0;87500;14;1;250;0;4.67
0;87500;14;1;750;0;4.49
0;87500;14;1;1500;0;4.43
0;87500;14;1;2500;0;4.29
0;87500;14;1;3500;0;4.03
0;87500;20;0;50;0;3.84
0;87500;20;0;250;0;4.57
0;87500;20;0;750;0;4.77
0;87500;20;0;1500;0;4.66
0;87500;20;0;2500;0;4.23
0;87500;20;0;3500;0;4.2
0;87500;20;1;50;0;4.76
0;87500;20;1;250;0;4.88
0;87500;20;1;750;0;4.73
0;87500;20;1;1500;0;4.28
0;87500;20;1;2500;0;4.28
0;87500;20;1;3500;0;4.23
0;137500;3;0;50;0;3.31
0;137500;3;0;250;0;3.81
0;137500;3;0;750;0;3.8
0;137500;3;0;1500;0;3.91
0;137500;3;0;2500;0;3.45
0;137500;3;0;3500;0;3.66
0;137500;3;1;50;0;3.82
0;137500;3;1;250;0;3.72
0;137500;3;1;750;0;3.43
0;137500;3;1;1500;0;3.5
0;137500;3;1;2500;0;3.6
